Curly Bracket
61.28 -114.34
49.72 -115.46
36.06 -115.92
22.59 -116.58
8.54 -116.58
-5.51 -116.58
-19.55 -116.58
-33.60 -116.58
-47.65 -116.58
-58.85 -115.35
-64.55 -112.98
-64.55 -110.35
-64.55 -107.72
-64.07 -105.11
-59.63 -102.61
-53.79 -100.23
-47.51 -97.88
-42.13 -95.45
-36.91 -93.01
-33.31 -90.48
-31.00 -87.89
-28.69 -85.30
-22.57 -82.94
-16.28 -80.59
-10.11 -78.23
-4.89 -75.79
0.33 -73.35
4.92 -70.86
9.37 -68.37
14.00 -65.89
20.28 -63.54
25.87 -61.14
28.63 -58.57
31.42 -55.99
35.86 -53.50
40.31 -51.00
43.31 -48.47
43.31 -45.84
43.31 -43.21
43.31 -40.58
43.10 -37.96
39.70 -35.41
34.33 -33.07
24.60 -31.18
16.80 -28.99
7.82 -26.99
-3.03 -25.37
-15.60 -24.19
-28.17 -23.02
-40.73 -21.84
-53.30 -20.66
-65.86 -19.49
-79.09 -18.65
-92.72 -18.01
-106.35 -17.38
-120.03 -16.81
-134.08 -16.81
-147.78 -16.28
-161.33 -15.60
-170.74 -14.57
-156.69 -14.57
-143.89 -13.58
-130.65 -12.71
-119.14 -11.33
-108.51 -9.64
-96.46 -8.28
-84.42 -6.93
-75.42 -4.95
-66.99 -2.84
-57.49 -0.91
-47.56 0.94
-37.97 2.86
-29.19 4.91
-20.42 6.96
-12.20 9.09
-4.41 11.28
3.39 13.47
10.78 15.70
17.75 17.98
24.71 20.27
31.55 22.56
36.00 25.05
40.44 27.55
45.53 29.99
51.82 32.34
58.10 34.69
63.47 37.11
67.92 39.60
72.36 42.10
75.10 44.67
77.41 47.26
79.26 49.86
79.26 52.49
79.26 55.12
79.26 57.75
79.26 60.38
79.26 63.01
79.26 65.63
79.26 68.26
79.26 70.89
78.17 73.49
73.73 75.98
69.29 78.47
66.01 81.02
63.70 83.61
61.39 86.21
57.05 88.70
52.61 91.20
47.70 93.66
41.42 96.01
35.13 98.36
30.24 100.80
27.48 103.37
24.19 105.92
18.97 108.36
13.76 110.80
13.35 113.42
13.35 116.04
13.35 118.67
13.35 121.30
13.35 123.93
13.35 126.56
18.55 128.78
25.12 131.10
34.94 132.97
48.00 133.42
60.70 132.35
73.27 131.17
