Letter A
-77.46 120.84
-71.47 123.44
-65.30 125.59
-58.92 126.05
-52.50 126.05
-46.07 126.05
-39.65 125.99
-33.34 124.24
-27.02 122.65
-20.68 121.19
-14.79 117.80
-9.04 113.81
-3.08 110.52
2.94 107.39
8.87 104.01
14.62 100.02
20.31 95.89
25.89 91.48
31.48 87.06
37.06 82.64
42.64 78.22
48.32 74.08
54.07 70.09
59.81 66.10
64.83 60.53
69.89 55.06
75.24 50.12
80.56 45.12
84.67 38.28
88.78 31.44
93.22 25.01
97.76 18.71
102.31 12.42
106.82 6.09
110.01 -1.64
113.20 -9.38
116.18 -17.26
119.06 -25.23
121.93 -33.19
124.80 -41.15
126.22 -49.75
127.13 -58.56
129.36 -66.81
131.19 -75.11
131.19 -84.02
131.19 -92.92
131.19 -101.83
128.90 -110.02
125.84 -117.24
120.09 -121.22
114.13 -123.95
107.71 -123.95
101.28 -123.95
94.85 -123.95
88.42 -123.95
82.00 -123.95
75.58 -123.70
69.24 -122.24
62.90 -120.77
56.56 -119.31
50.37 -117.01
44.28 -114.20
38.45 -110.49
32.70 -106.51
26.95 -102.52
21.20 -98.54
15.45 -94.56
9.70 -90.58
4.60 -85.21
-0.42 -79.64
-4.96 -73.34
-9.51 -67.05
-14.50 -61.44
-19.45 -55.78
-23.47 -48.83
-27.34 -41.75
-30.65 -34.11
-33.51 -26.17
-35.90 -17.90
-39.12 -10.21
-42.54 -2.68
-46.40 4.44
-50.26 11.57
-53.96 18.84
-57.26 26.47
-60.72 33.98
-63.67 41.84
-66.06 50.10
-70.49 56.50
-74.34 63.58
-77.91 70.99
-81.47 78.40
-85.57 85.21
-89.02 92.59
-93.17 99.28
-94.37 107.79
-96.25 110.44
-91.71 104.14
-87.91 97.00
-84.14 89.79
-80.42 82.54
-77.11 74.91
-74.49 66.83
-72.46 58.39
-69.85 50.27
-66.97 42.31
-64.71 33.99
-62.67 25.55
-60.87 17.00
-59.11 8.44
-57.87 -0.29
-56.82 -9.07
-55.76 -17.86
-54.90 -26.66
-54.90 -35.57
-54.90 -44.47
-56.10 -52.69
-59.91 -59.71
-65.08 -64.42
-71.18 -67.23
-77.37 -69.26
-83.79 -69.26
-90.22 -69.26
-96.65 -69.26
-103.07 -69.26
-109.06 -66.66
-113.56 -63.79
-118.81 -58.85
