Question Mark
-133.54 -26.56
-136.02 -29.80
-136.02 -33.81
-136.02 -37.82
-136.02 -41.83
-136.02 -45.83
-136.02 -49.84
-136.02 -53.85
-134.53 -57.68
-132.55 -61.39
-129.23 -64.29
-125.08 -66.62
-122.11 -69.95
-117.50 -71.01
-112.31 -71.54
-107.52 -73.33
-102.73 -75.12
-97.94 -76.92
-93.07 -78.52
-87.78 -79.18
-82.50 -79.84
-77.22 -80.50
-71.93 -81.16
-66.65 -81.82
-61.35 -82.43
-56.05 -82.99
-50.75 -83.56
-45.43 -83.97
-40.07 -83.97
-34.72 -83.97
-29.36 -83.97
-24.00 -83.97
-18.64 -83.97
-13.29 -83.97
-7.93 -83.97
-2.57 -83.97
2.78 -83.97
8.13 -83.91
13.44 -83.34
18.74 -82.77
24.04 -82.21
29.22 -81.19
34.37 -80.09
39.52 -78.99
44.67 -77.89
49.82 -76.78
54.97 -75.68
60.10 -74.54
65.08 -73.05
70.05 -71.56
74.70 -69.61
79.16 -67.39
83.94 -65.58
88.73 -63.79
91.89 -60.61
94.86 -57.28
97.83 -53.94
100.80 -50.61
103.77 -47.28
105.60 -43.52
107.85 -39.92
110.82 -36.59
113.35 -33.06
113.98 -29.16
113.98 -25.16
113.98 -21.15
113.98 -17.14
113.98 -13.13
113.98 -9.13
113.53 -5.17
111.83 -1.37
109.57 2.26
107.18 5.84
105.30 9.59
103.18 13.22
99.97 16.43
96.76 19.63
92.99 22.48
89.20 25.31
85.41 28.15
81.62 30.98
77.83 33.82
74.05 36.65
69.82 39.03
65.03 40.82
60.43 42.84
56.14 45.25
51.86 47.65
47.57 50.05
43.28 52.46
38.77 54.61
34.17 56.67
29.57 58.72
24.78 60.51
19.99 62.30
15.20 64.10
10.72 66.30
6.12 68.31
1.14 69.80
-3.83 71.29
-8.50 73.23
-13.09 75.30
-17.67 77.37
-22.13 79.60
-26.29 82.09
-30.17 84.84
-34.63 87.07
-38.77 89.57
-42.56 92.41
-46.35 95.24
-48.95 98.71
-51.35 102.30
-51.86 106.22
-51.86 110.22
-51.86 114.23
-52.79 118.13
-54.34 121.95
-54.34 125.95
-54.34 129.96
-54.34 133.97
-54.34 137.98
-54.34 141.98
-54.34 145.99
-54.34 150.00
-54.34 154.01
-54.34 158.02
-54.34 162.02
-54.34 166.03
