Square Bracket
158.38 127.16
149.70 127.16
141.02 127.16
132.33 127.16
123.65 127.16
114.97 127.16
106.29 127.16
97.61 127.16
88.93 127.16
80.25 127.16
71.56 127.16
62.88 127.16
54.20 127.16
45.52 127.16
36.84 127.16
28.16 127.16
19.47 127.16
10.79 127.16
2.11 127.16
-6.57 127.16
-15.25 127.16
-23.93 127.16
-32.16 126.45
-38.29 125.12
-38.29 121.93
-38.29 118.73
-36.28 115.63
-34.95 112.50
-34.95 109.31
-34.95 106.12
-34.95 102.93
-34.78 99.74
-33.55 96.58
-32.32 93.42
-31.62 90.25
-31.62 87.05
-31.62 83.86
-31.62 80.67
-31.46 77.48
-30.67 74.30
-29.89 71.12
-29.10 67.95
-28.31 64.77
-28.29 61.58
-28.29 58.38
-28.29 55.19
-28.29 52.00
-28.29 48.81
-28.29 45.62
-28.29 42.43
-28.29 39.23
-28.29 36.04
-28.29 32.85
-28.29 29.66
-28.29 26.47
-28.29 23.27
-28.29 20.08
-28.29 16.89
-28.95 13.71
-29.61 10.53
-30.28 7.34
-30.95 4.16
-31.61 0.98
-32.40 -2.20
-33.18 -5.38
-33.97 -8.56
-34.75 -11.74
-35.67 -14.91
-36.63 -18.08
-37.59 -21.25
-38.74 -24.41
-40.45 -27.54
-42.15 -30.67
-43.85 -33.80
-45.39 -36.94
-46.61 -40.10
-47.84 -43.26
-49.63 -46.38
-51.74 -49.48
-53.84 -52.58
-54.95 -55.72
-54.95 -58.91
-54.95 -62.10
-55.92 -65.27
-57.14 -68.43
-58.40 -71.58
-60.11 -74.71
-61.62 -77.85
-61.62 -81.04
-61.62 -84.23
-62.51 -87.39
-64.62 -90.48
-64.95 -93.66
-66.84 -96.74
-68.29 -99.84
-68.29 -103.04
-71.62 -105.72
-71.62 -108.91
-70.83 -111.81
-62.14 -111.81
-53.56 -112.16
-45.04 -112.78
-36.43 -113.04
-27.75 -113.04
-19.07 -113.04
-10.42 -113.24
-1.81 -113.64
6.81 -114.04
15.43 -114.40
24.07 -114.72
32.71 -115.03
41.35 -115.35
49.99 -115.65
58.64 -115.94
67.28 -116.23
75.93 -116.52
84.50 -116.97
92.92 -117.74
101.35 -118.52
109.80 -119.24
118.39 -119.69
126.99 -120.14
135.58 -120.59
144.17 -121.04
152.77 -121.49
161.24 -122.18
169.70 -122.84
178.38 -122.84
